#Thousand Word Corpus courtesy of ASBusinessMagnet
#Feel free to modify to your own accord

#File format: word,sPoint,nPoint,yPoint,mPoint
счастье,4,3,1,2
печаль,4,3,1,2
смерть,4,1,2,3
трагедия,4,1,2,3
одиночество,4,1,2,3
любовь,4,2,1,3
приключение,4,3,1,2
сладкий,4,2,1,3
волнение,4,2,1,3
фейерверк,4,3,2,1
романтика,4,2,1,3
слёзы,4,1,2,3
депрессия,4,1,3,2
сердце,4,2,1,3
брак,4,2,1,3
страсть,4,2,1,3
детство,4,3,2,1
веселье,4,3,1,2
цвет,4,3,2,1
надежда,4,2,3,1
друзья,4,3,1,2
семья,4,2,1,3
вечеринка,4,3,2,1
отпуск,4,3,1,2
лень,4,3,2,1
мечта,4,1,2,3
боль,4,2,3,1
отпуск,4,3,1,2
кровать,4,3,1,2
перо,4,3,2,1
стыд,4,2,3,1
страх,4,1,3,2
тепло,4,3,1,2
цветок,4,3,1,2
комфорт,4,3,1,2
танцевать,4,2,1,3
петь,4,2,1,3
плакать,4,1,2,3
смеяться,4,3,1,2
темный,4,2,3,1
солнечный,4,3,1,2
туча,4,3,2,1
спокойный,4,1,3,2
глупый,4,3,2,1
летящий,4,3,2,1
чудесный,4,3,2,1
безответный,4,1,2,3
роза,4,1,2,3
вместе,4,2,1,3
обещание,4,2,1,3
очарование,4,3,2,1
красота,4,2,1,3
веселье,4,3,2,1
улыбка,4,2,1,3
разбитый,4,1,2,3
драгоценный,4,2,1,3
молитва,4,1,3,2
неуклюжий,4,3,2,1
прощать,4,2,3,1
природа,4,3,1,2
океан,4,3,1,2
ослепительный,4,3,2,1
особенный,4,2,1,3
музыка,4,2,1,3
удача,4,3,2,1
громкий,4,3,1,2
спокойный,4,1,3,2
радость,4,1,3,2
закат,4,3,1,2
светлячки,4,3,2,1
радуга,4,3,1,2
боль,4,2,3,1
играть,4,3,2,1
искра,4,3,2,1
шрамы,4,2,3,1
пустой,4,1,2,3
удивительный,4,3,2,1
горе,4,1,3,2
объятия,4,1,2,3
необыкновенный,4,2,1,3
потрясающий,4,3,2,1
поражение,4,1,3,2
безнадёжный,4,1,2,3
страдание,4,1,3,2
сокровище,4,3,1,2
блаженство,4,2,1,3
воспоминания,4,2,1,3
приятный,4,3,1,2
ностальгия,4,2,1,3
волшебный,4,1,2,3
ласковый,4,1,2,3
прохладный,4,3,1,2
свечи,4,1,2,3
крик,4,3,1,2
случайный,4,2,3,1
рай,4,1,3,2
отъезд,4,1,3,2
замечательный,4,1,2,3
булочка,4,3,2,1
исключительный,4,2,1,3
боль,4,2,3,1
вокальный,4,3,1,2
азарт,4,2,3,1
ожидание,4,2,3,1
воображать,4,1,2,3
привлекательный,4,1,2,3
чувствовать,4,3,1,2
притворяться,4,3,2,1
группа,4,2,1,3
храбрый,4,2,3,1
моросить,4,3,1,2
узнавать,4,1,2,3
светящийся,4,1,3,2
оцепеневший,4,1,3,2
слабый,4,3,2,1
чёрный,4,2,3,1
церковь,4,1,3,2
яркий,4,1,3,2
довольный,4,1,3,2
печенье,4,3,2,1
безжизненный,4,1,3,2
расстроенный,4,1,3,2
форма,4,3,2,1
ночь,4,3,1,2
невинный,4,3,2,1
торт,4,3,2,1
восклицание,4,3,1,2
песня,4,2,1,3
кататься,4,3,2,1
кричать,4,3,1,2
