#File format: word,sPoint,nPoint,yPoint,mPoint
счастье, 4, 3, 1, 2
печаль, 4, 3, 1, 2
смерть, 4, 1, 2, 3
трагедия,4,1,2,3
одиночество, 4, 1, 2, 3
любовь,4,2,1,3
приключение,4,3,1,2
сладкий,4,2,1,3
волнение,4,2,1,3
фейерверк,4,3,2,1
романтика,4,2,1,3
слёзы,4,1,2,3
депрессия,4,1,3,2
сердце,4,2,1,3
брак,4,2,1,3
страсть,4,2,1,3
детство,4,3,2,1
веселье,4,3,1,2
цвет,4,3,2,1
надежда,4,2,3,1
друзья,4,3,1,2
семья,4,2,1,3
вечеринка,4,3,2,1
отпуск,4,3,1,2
лень,4,3,2,1
мечта, 4,1,2,3
боль,4,2,3,1
отпуск,4,3,1,2
кровать,4,3,1,2
перо,4,3,2,1
стыд,4,2,3,1
страх,4,1,3,2
тепло,4,3,1,2
цветок,4,3,1,2
комфорт,4,3,1,2
танцевать, 4,2,1,3
петь, 4,2,1,3
плакать, 4,1,2,3
смеяться, 4,3,1,2
темный, 4,2,3,1
солнечный, 4,3,1,2
туча,4,3,2,1
спокойный,4,1,3,2
глупый,4,3,2,1
летящий,4,3,2,1
чудесный,4,3,2,1
безответный,4,1,2,3
роза,4,1,2,3
вместе,4,2,1,3
обещание, 4, 2, 1, 3
очарование,4,3,2,1
красота,4,2,1,3
веселье,4,3,2,1
улыбка,4,2,1,3
разбитый,4,1,2,3
драгоценный,4,2,1,3
молитва,4,1,3,2
неуклюжий,4,3,2,1
прощать,4,2,3,1
природа,4,3,1,2
океан,4,3,1,2
ослепительный,4,3,2,1
особенный, 4,2,1,3
музыка, 4,2,1,3
удача, 4,3,2,1
несчастье, 4,2,3,1
громкий,4,3,1,2
спокойный,4,1,3,2
радость,4,1,3,2
закат,4,3,1,2
светлячки,4,3,2,1
радуга,4,3,1,2
боль,4,2,3,1
играть, 4,3,2,1
искра,4,3,2,1
шрамы,4,2,3,1
пустой,4,1,2,3
удивительный,4,3,2,1
горе, 4, 1, 3, 2
объятия,4,1,2,3
необыкновенный,4,2,1,3
потрясающий,4,3,2,1
поражение,4,1,3,2
безнадёжный,4,1,2,3
страдание,4,1,3,2
сокровище,4,3,1,2
блаженство,4,2,1,3
воспоминания,4,2,1,3
ласковый, 4, 1, 2, 3
полночь,4,2,3,1
объятия,4,1,2,3
дождь,4,3,1,2
случайный, 4, 2, 3, 1
милый,2,4,1,3
пушистый,3,4,2,1
чистый,2,4,3,1
конфеты,3,4,2,1
покупки,2,4,1,3
щенок, 2,4,1,3
котёнок, 2,4,1,3
облака,3,4,2,1
помада,1,4,2,3
парфе, 2,4,1,3
клубничный, 3,4,2,1
розовый, 2,4,1,3
шоколад,2,4,1,3
сердцебиение,1,4,2,3
поцелуй, 1,4,2,3
мелодия, 2,4,1,3
ленточка, 3,4,1,2
прыгучий, 2,4,1,3
доки-доки, 2,4,1,3
кавайи, 2,4,1,3
юбка,3,4,1,2
щёчки,3,4,1,2
письмо, 2,4,1,3
липкий,3,4,2,1
упругий, 2,4,1,3
блестящий, 3,4,2,1
клевать, 3,4,2,1
фантазия,1,4,2,3
сахарный,3,4,2,1
хихикать,3,4,1,2
зефир,3,4,2,1
прыжок,3,4,1,2
прыжки, 3,4,1,2
мир, 3,4,1,2
вращение, 3,4,1,2
